"lat_centers","lon_centers","min_lons","max_lons","min_lats","max_lats","A0000","A0001","A0002","A0003","A0004","A0005","A0006","A0007","A0008","A1000","A1001","A1002","A1003","A1004","A1005","A1006","A1007","A1008","A1009","A1010","A1011","A1012","A1013","A1014","A1015","A1016","A1017","A1018","A1019","A1020","A1021","A1022","A1023","A1024","A1025","A1026","A1027","A1028","A1029","A1030","A1031","A1032","A1033","A1034","A1035","A1036","A1037","A1038","A1039","A1040","A1041","A1042","A1043","A1044","A1045","A1046","A1047","A1048","A1049","A1050","A1051","A1052","A1053","A1054","A1055","A1056","A1057","A1058","A1059","A1060","A1061","A1062","A1063","A1064","A1065","A1066","A1067","A1068","A1069","A1070","A1071","A1072","A1073","A1074","A1075","A1076","A1077","A1078","A1079","A1080","A1081","A1082","A1083","A1084","A1085","A1086","A1087","A1088","A1089","A1090","A1091","A1092","A1093","A1094","A1095","A1096","A1097","A1098","A1099","A1100","A1101","A1102","A1103","A1104","A1105","A1106","A1107","A1108","A1109","A1110","A1111","A1112","A1113","A1114","A1115","A1116","A1117","A1118","A1119","A1120","A1121","A1122","A1123","A1124","A1125","A1126","A1127"
-70.5405405,78,-72.97297295,-68.10810805,77.5,78.5,-86.0310292520732,-181.087617457835,-63.5933478454743,-69.1178352106143,-118.361683367584,-102.589552052907,-69.3044656437893,-86.0925146288854,-85.3791657882419,-103.474972368069,-128.908999183911,-79.5574964519645,-125.974770967528,-146.08689288292,-50.2662361138413,-145.257531115432,-90.7158838465995,-159.647065742716,-213.042607024545,-84.1171256957894,-81.4407380320823,-120.113885373405,-70.4071637251097,-59.4698512103619,-48.035204497302,-195.393474484012,-51.6960226811448,-180.492838351683,-162.758563815511,-59.0462022967617,-52.6627646342365,-133.274126852646,-83.5841717706576,-90.0703921625423,-65.1332179502281,-56.0733026651844,-68.7049939360545,-80.014548341151,-84.6711632727204,-86.5762819787886,-55.6761787335627,-63.3095233222304,-106.384413856514,-81.4190304162523,-155.338597774989,-74.2209330204565,-95.1381160593865,-120.651025622525,-54.9654985290236,-147.480435584488,-152.928681988584,-150.477018370346,-140.041321795458,-118.584863918953,-91.7899010075926,-80.3497854339,-119.80672280881,-76.5744418169505,-87.2797885840622,-98.3519696405393,-100.151337811788,-62.8329619439402,-73.2223861363197,-117.660205363389,-76.8480272303645,-105.08672767585,-74.74592683213,-102.175036802769,-81.4396230193232,-90.2916662204196,-93.3113266735252,-72.0360135405638,-90.9832836805833,-73.3780695337625,-78.837099782704,-88.7869308702092,-101.651118024828,-66.1562479349437,-115.214731575181,-98.5535879783156,-82.9190317133606,-237.199466229384,-65.6985421433238,-63.0875056054543,-105.228469784592,-86.7557448095016,-64.9282013709634,-61.8947093505829,-74.5196820974091,-141.432746747942,-143.415909020564,-82.9488436146524,-85.5970788463174,-88.4877543338363,-131.531678203672,-72.1022456055454,-74.5124167949116,-104.438217645027,-55.3535180756632,-66.1583478938149,-109.909430332218,-90.3414593395063,-190.108109910119,-66.3353296421767,-152.80040583945,-69.5980903346869,-60.9853701264266,-65.7065548579846,-207.323693874526,-60.7349174027905,-110.357954777224,-160.246772271941,-173.383457477834,-69.8561463118265,-80.2214541872161,-58.2186644141567,-140.857986505755,-96.4645005831488,-137.93816594228,-42.2405147757284,-90.8080342811235,-79.07279764688,-168.078593431861,-99.1720887959323,-123.346033434155,-103.385681795324,-69.8865989938042,-123.322258993318,-54.4099598442461,-158.975069240514,-112.475643186597,-71.2659357559327,-66.462983789572,-133.354274264807,-66.7141543092796,-161.193787141312,-111.161600420223
-65.6756757,78,-68.10810815,-63.24324325,77.5,78.5,-93.8883830676525,-334.718502279785,-39.0178662596297,-67.8293945701968,-132.143954257471,-137.17430532477,-50.5903126352256,-93.9266252589642,-93.5069479392881,-112.173790620085,-223.957359144866,-95.6660930630003,-218.736892583605,-259.996024553688,-11.7381210008225,-250.815435055116,-77.2382689401752,-227.160680861171,-386.511984468762,-91.5169358349975,-61.0236866446258,-133.580842123289,-58.2088762298432,-11.3874414975488,-10.5252809954358,-352.151389574314,-15.8175693510879,-277.364223770687,-233.618794817327,-37.0241445268585,-10.2563598634142,-176.233996801492,-102.508338720972,-124.389012910329,-52.4552970214955,-24.4361402361538,-60.8749052824173,-73.2841084573982,-69.5874537484985,-99.2665309927669,-22.7215867617033,-34.4891477449435,-134.410925749526,-61.1064199162957,-226.415909277005,-49.1323761877978,-126.490704408779,-177.947445245669,-25.5724980954671,-200.581338208089,-270.850356788173,-243.244076570335,-205.638887041825,-141.056449352892,-121.769772767869,-83.2520081071781,-148.212082524889,-73.26778660167,-105.108609094863,-94.1011237262349,-106.389217440313,-40.0633660653483,-74.2287170216304,-156.748475800653,-74.8451919966855,-147.569136702425,-72.2339452955276,-139.870868967115,-69.5320666087503,-113.684997468496,-107.15978307184,-59.6073071016651,-100.539804951256,-39.5318176801963,-80.6111149803989,-83.340570005415,-128.246376629086,-53.1039955309106,-140.456729589108,-106.140417803673,-68.6536962129016,-393.632477661797,-14.1340123557469,-46.297798362463,-161.51832328954,-84.7398864881267,-46.411831008922,-34.7386763493863,-55.9939937701175,-233.547026290689,-232.381192768684,-99.750932354393,-101.589152487427,-99.0368908195318,-209.653479381244,-58.9503333088128,-69.7631157741228,-126.854588285358,-26.3783283212108,-42.7404313661121,-102.404241839985,-64.9425977390856,-299.374981112312,-41.9959924154747,-212.472570447211,-27.0312199105504,-42.8126925022774,-33.8230318956355,-338.146289282134,-37.6538347304482,-136.19866190519,-220.215111428932,-265.431418611722,-60.2070363485108,-44.9349232638003,-26.1336034324101,-179.233054742611,-112.913218627344,-202.419993797208,9.76554603618713,-107.752811314931,-48.924320756669,-299.343507061257,-135.56432544687,-174.391161516506,-148.449614067246,-58.5020976056569,-191.309657434516,-14.7926826561102,-234.21197085995,-167.444498106977,-69.4024970414432,-53.9071524529944,-164.508482667787,-25.3520329379332,-291.079884627616,-162.424623569982
-60.8108108,78,-63.24324325,-58.37837835,77.5,78.5,-85.2304549160949,-519.349365401829,8.54564027529906,-59.659232474139,-116.507510460369,-153.143660708282,-17.3846763176051,-85.2481937519019,-85.1699772397036,-89.9217077962202,-351.649331837986,-124.394815128815,-339.166321841593,-399.717041220204,41.4407800820143,-389.40132316594,-34.2267498583929,-267.411874380738,-579.225086999905,-74.9012765922314,-13.5798179706352,-122.509557289792,-22.2528863043251,60.3348096512382,39.5974077502513,-525.05716673476,33.0605591495133,-358.400382870747,-296.390524081423,0.672964555584067,53.3461077605235,-192.396919878086,-109.438705386553,-175.571282058186,-20.7236268939671,27.629456890973,-35.8620468241275,-41.215599984106,-33.8483750430127,-90.7398474904649,28.6543153557772,16.5557744908189,-154.011064118798,-21.7671751340114,-292.707425272988,0.448883669411687,-147.436492397451,-235.055354209282,18.136272517184,-231.644518182972,-413.841993015958,-343.015216122345,-258.475423999624,-141.393423999241,-158.139233403515,-69.0678466638999,-153.114105272169,-60.79788638738,-118.056063283736,-63.4920920417698,-87.7662922678492,-2.8091687550909,-66.53466960157,-181.771996665072,-51.3494776991569,-193.174863918315,-52.4781591487658,-168.638219134465,-37.5434832655052,-130.022271057293,-103.480153721191,-27.205601285258,-91.890476742102,20.7214415427499,-64.0795504558916,-51.4893173079566,-142.284650872357,-29.1828416990937,-145.823123319058,-95.4363307695509,-29.7346939136356,-546.424202354397,67.1479104019468,-16.924531242704,-230.545608683713,-58.5912096083862,-12.5673616612888,15.0945112413745,-17.9822412934396,-343.835592290826,-317.981286156108,-106.983564673506,-111.995956890521,-92.2639267978893,-291.557451660699,-19.4323489196446,-39.7028981595123,-126.794317451904,22.2933376971781,4.71618626770984,-66.1973009643516,-7.92980690988247,-404.19257075534,7.23611527298544,-246.046959752638,42.3454803343346,-19.244689371612,21.1512032994893,-468.86738955445,-0.798059076911662,-137.357462915766,-258.674230726546,-346.232537633333,-27.1144043146394,18.606879046593,27.4924784880461,-199.683607368121,-112.462811325833,-269.107463445266,79.9938369243826,-105.085458843378,6.22502355390299,-449.632792843964,-164.893946717954,-214.973047362616,-197.851756690458,-26.9219384353325,-271.089944622425,47.703291802662,-310.596126379773,-216.630166584841,-49.0968934782798,-22.0186561174955,-176.766635998247,42.799302877211,-456.481931104711,-205.562780121664
-66.1764706,79,-68.8235294,-63.5294118,78.5,79.5,-80.1525558680953,-19.6069270686834,-88.7189134364581,-61.3616872610173,-109.132036029179,-114.136850973713,-46.185053242573,-80.171420705035,-79.9969575489418,-134.407062295145,-20.6316929598588,-5.3566734621054,-38.8388396951036,-43.2508766401524,-47.6407549950903,9.36386689902474,-105.376713816599,-132.975914162668,-69.4367862088399,-119.70874223217,-100.634179489334,-82.8880302152095,-103.286365256826,-65.8833261196955,-45.635925457306,-69.5931247262465,-41.9481923920197,-113.795078592998,-64.9842256297994,-71.0270511313748,-62.3223442328842,-135.358252828394,-95.8534508522855,-13.6578189134328,-93.9508701806269,-75.7531200479928,-87.857987717473,-113.620785302802,-73.8098550651909,-110.461911917544,-64.9267427633678,-78.2758202796262,-54.9814779040021,-60.7115979711765,-65.3570973360957,-89.3944358843491,-92.9988555460899,-48.4590545081838,-56.7450111889037,-107.85777284947,-29.8113267703409,-47.8770908151596,-105.238297984163,-101.777187718928,-34.422806216511,-81.8208001882668,-117.539456777663,-42.4375424439536,-55.9726868260006,-99.9342131798133,-111.18963190783,-53.99950587908,-64.0939932582005,-89.5474962009138,-101.434642153049,-37.0092759212889,-87.8384192891426,-79.3539065809617,-76.3079908666362,-71.5543188141105,-87.418692062449,-81.2173585291565,-86.8014818085722,-98.4115450179561,-111.352947156356,-125.38618358557,-89.76663521598,-74.7117846274933,-114.707068283482,-93.7761524254775,-108.49374016774,-96.9959581340545,-91.5183910173349,-79.1900909998417,-66.2625916970766,-117.625618360928,-82.9110058081619,-99.5690954606322,-79.8484319833267,-33.2775294718375,-105.664799020382,-101.495181769772,-79.301923050565,-101.526203620092,-78.2434985662486,-127.072660969,-136.153467529518,-129.360167915133,-97.9053506097063,-104.022108955596,-93.5331597900296,-105.338247343709,-103.142619315167,-106.734879536608,-148.002504389949,-91.1531753827922,-52.4832359214544,-87.8037051997185,-99.6405457254075,-74.5726537422177,-141.486173140289,-113.305413705552,-122.365355544446,-125.672477051072,-92.8086418720763,-89.792498251932,-92.9717958021154,-98.9412663431992,-52.5905294492554,-66.2387093326584,-122.447650462402,-91.2590355561162,-62.8052654696698,-101.90795550151,-98.021150104889,-72.3092815061615,-108.669452104794,-47.3795307271959,-88.7686465144722,-59.9521258560573,-108.693802974173,-119.63041897775,-109.746067679387,-96.6291150868637,-97.1047160760011,-34.1871911599051,-111.580380488879
-60.8823529,79,-63.5294117,-58.2352941,78.5,79.5,-57.1100144020402,-87.2646930854936,-47.4297437666166,-40.7979820588497,-80.5019969831521,-111.417015284794,-2.83433837027894,-57.119396805633,-57.1364990246834,-111.4582242623,-70.117894159176,4.86647846980521,-88.4636509103567,-99.8131371705016,2.88559222167208,-32.5760176755048,-64.8501528915499,-136.380142744822,-145.120912985236,-101.171106708807,-58.6131028465125,-50.3457821074874,-71.3288455752503,-4.62217956982903,2.37114810041536,-137.143301344294,7.41296008778952,-134.591028687615,-66.6108945064447,-34.3645395613433,-6.64714654951594,-130.647038565023,-89.2974071122926,-18.6842571817203,-64.9357068067148,-30.5777920551296,-60.979909836113,-84.6149592107825,-31.8412391977728,-94.5458787198074,-17.907050805506,-32.1970834848037,-39.758626852615,-13.9729860791607,-71.5971166268777,-44.6885779919162,-92.0605906886919,-53.196459584248,-13.6773721537299,-102.597771298743,-81.7963801670074,-73.317918282106,-115.932311962402,-82.2439721657474,-32.3667383809343,-56.956634937863,-104.49306171925,-10.8969307702192,-43.0740168167665,-64.5079857387925,-85.8018966800361,-12.1997314471063,-42.9742686086069,-83.3780583207666,-75.9963980427889,-36.7316504948459,-62.8496777226567,-77.8024248021155,-37.9482543728113,-63.8371089173024,-67.5206053958156,-46.1014046417536,-64.016713044977,-45.3733236115709,-90.069328608296,-93.7208699158737,-77.4354118460033,-43.9911548751289,-99.0819893772011,-66.3764456620601,-69.522436673687,-141.682858132208,-25.0946648008941,-46.4700333466824,-89.197375302651,-88.2300942715259,-47.1089057752749,-56.6043545129868,-36.6549380548259,-63.5777171098128,-134.79600514001,-94.1597098252193,-68.3293705786958,-81.3132084205398,-102.561082814912,-94.6246555967805,-111.973418284721,-115.853688563793,-57.79557327692,-62.2076409721588,-46.1571215186229,-51.8254137095439,-132.366813261763,-64.2302182062021,-149.656275124824,-31.406945300562,-18.7402845072813,-37.3124006931949,-140.422917980291,-36.027120564873,-130.231246992334,-107.761868351604,-144.592613504545,-98.2986921697321,-34.7743239936116,-42.8621612166156,-75.7610775581442,-80.1159974936997,-57.5698423872528,-7.292210590257,-109.535197027924,-38.6350258005797,-119.733360031638,-105.272751852345,-99.9434091001259,-82.5581318798781,-78.6857041310795,-66.2684472159721,-36.5511088415646,-67.9903050079287,-123.516517662462,-100.037861003317,-80.9766077257428,-76.827845272051,-40.2679791855621,-99.7716691391639,-123.027266248347
-55.5882353,79,-58.2352941,-52.9411765,78.5,79.5,-23.887849756818,-178.924560244986,7.88226155084182,-16.2110545488965,-34.294007226318,-74.155255089364,26.4024214471547,-23.8916159287733,-23.9445073610985,-50.0673090295662,-134.201624704832,-15.4921465672815,-139.832185980316,-158.252235738624,42.5243740980834,-115.575965433338,-7.01708948395444,-106.075069200293,-219.579628735709,-46.1091481248536,-0.75511348992402,-18.70280539697,-14.5708627495387,49.4560342192312,39.8226510808762,-200.359416293185,42.5021701978567,-133.729032774093,-80.1454585933513,8.79407247186625,44.1825997596588,-87.6909512989222,-55.8374119310088,-46.6730470079018,-14.0644118223431,21.3437700446558,-16.0236737927301,-26.200210955389,8.74478584217458,-47.2036284142894,28.6995902689204,19.6512821649148,-32.9263492870942,22.369552423518,-86.1078325772083,9.82539021162655,-66.8913416380745,-66.8974379578471,25.741882529956,-79.9675980923351,-147.706155443099,-109.592737935855,-103.487318217254,-47.2463566220753,-42.6883841662854,-19.9955294131639,-64.0990927166175,6.92368368650266,-31.413951890884,-15.4022093676236,-36.5839911121258,22.7438196421002,-17.3863131519279,-63.89022036742,-25.8319251254863,-49.9372956891845,-20.6164690540833,-62.5996084269109,2.98329753587153,-46.4997562608534,-33.8917337224862,-1.16716635404935,-28.4146415534076,6.98040582725824,-49.4568286501647,-41.7949969826413,-61.910678006034,-16.7021784983971,-70.5273249621687,-38.8091376721059,-21.8591111800319,-196.089510261171,33.311805823487,-14.3887241208874,-112.065923695787,-41.5726022370689,-11.3665561103133,-5.75126712534283,-1.21912706585642,-122.494880631849,-146.968504726341,-69.2454130812109,-55.6715791240059,-49.98844872272,-125.591816742488,-36.3124053812403,-53.5952022365871,-76.3667323534682,-7.86179005656687,-10.6090889432494,-8.9209172777558,1.31578189202426,-160.484585823827,-10.7291882961252,-120.943982329696,21.5514042052737,-1.95221395119968,9.58684902964985,-183.341522579613,-2.5965612785975,-86.5025963500869,-97.8579114157757,-151.105792117139,-43.0704357321925,15.5718087629148,5.44874576587046,-66.5823047950834,-53.5845004418947,-87.2379153831773,38.2261446092544,-70.4070008894684,7.6538514756403,-184.679568097571,-91.1419820943036,-94.4311575603926,-92.6798451475569,-32.1221034461553,-103.347885595903,15.2266707591415,-101.433881669308,-115.901620015758,-53.4156908196185,-33.581853001381,-61.8170379933357,15.3367773685751,-187.756283752767,-111.097913076681
-66.7741935,80,-69.6774193,-63.8709677,79.5,80.5,-48.1137816585347,305.398542038557,-119.756397705925,-41.3832750617772,-59.3335110569367,-70.0668176747496,-26.1641413069784,-48.1332406959608,-48.0599625589485,-128.995454214206,190.204894206518,93.1684998289871,150.04463681969,184.854206023445,-69.4617375539301,276.484531266279,-108.1569646968,-9.17235550006497,269.550781184483,-126.622412506418,-115.887075589309,-6.44446465056402,-128.440298809213,-99.7273842784676,-67.6751558662295,232.812254425266,-54.3121142210862,79.3529312974118,129.681333921598,-89.5503158595778,-97.5215332537116,-64.7144746040622,-72.1306162127321,105.071823228507,-117.947387178946,-110.144831480474,-97.5273675362606,-131.31662672046,-55.4413754252116,-101.323308562177,-91.1527707381815,-103.447716189005,42.9506036091731,-38.7395135424613,121.254519961263,-106.943342806028,-41.8838307299901,97.1156195024457,-73.3796805550782,13.2986316013098,221.883817044431,165.19399598597,21.396900303446,-35.3323468005609,64.4893902789661,-62.3691074030218,-58.8466038729398,2.64567269082518,7.72177840892253,-79.8887143173765,-89.7497005338322,-52.8260953902481,-39.3387261733292,1.0153158578599,-108.733678664188,86.5131125187877,-85.749196737914,-1.72681331657616,-61.8891253531764,-13.6042715411514,-47.5183483189523,-84.6986738955321,-52.7410317690549,-142.106470251226,-131.826886745373,-151.049057820364,-40.9827808764051,-90.0398979579195,-71.1465833005025,-67.0384578307916,-133.399209953789,218.527356956763,-154.464653166236,-105.547856133653,32.6237929089763,-136.277608928944,-111.753590952134,-154.669952511532,-93.2790852754427,170.711154363567,33.1066938229638,-95.2847407823899,-50.176348176034,-93.5313617383332,60.9760733637426,-182.912411192803,-190.180566488353,-115.912651688537,-161.307397720842,-154.490306979925,-67.1997769179882,-128.818033325547,114.620647489865,-160.033761216325,-60.2784269240078,-140.472353805178,-58.3056973053927,-130.790798699939,160.367891151741,-104.8040077082,-128.158406652324,14.5604439800037,43.2304687801535,-179.756209803021,-124.641601885432,-144.418318865539,13.0773528063089,-73.2527553657318,108.75428343579,-136.074301972533,-125.445872593574,-118.180547202608,179.962585278357,-59.2121696196704,-8.39748255543207,9.52016417988557,-148.854311207772,101.168293577129,-153.840079656689,130.643338419022,-40.0483550667604,-160.337681659645,-156.309669456261,-9.0391373293602,-154.703031044258,224.837689137799,-50.4581605843343
-60.9677419,80,-63.8709677,-58.0645161,79.5,80.5,-26.4492723435964,229.250276242195,-76.6338234855112,-17.8811815789051,-40.9238423850368,-67.3823796610878,14.5234971870968,-26.4661891122729,-26.4461246176566,-109.778085692168,141.054132714613,102.921699423394,102.130742114621,126.292533001496,-17.5358430476491,228.254909630546,-72.9113599561,-26.3237930501685,179.757485668982,-105.728453733608,-77.1055332507997,13.0398319851575,-93.9467603987052,-41.1992794266796,-17.2261267609012,153.778933293575,-4.13473861440053,41.5540914288993,109.623773280908,-49.8373318286968,-41.3945344332297,-68.3981697821213,-62.0373424588442,100.492577772602,-84.731014748885,-62.5216794563628,-67.484803722234,-101.430857640608,-18.9655339420631,-83.8213499240483,-42.5440579601004,-57.0877563934573,51.2918895931434,1.73000666595139,99.4933262667341,-64.5013180123951,-39.6309664011938,85.6449759178696,-28.2444054466368,4.76370591425822,164.864479043349,129.566437716778,2.13543364063973,-24.9064015989817,65.7539337729563,-37.6013551356185,-53.0575380065227,31.7580621296489,19.7656795411366,-51.1981995739411,-68.89160930551,-11.0815827514719,-16.480708140469,0.583168011044592,-81.2878425705211,82.8448656138524,-58.8714701556722,-1.6780538985883,-27.1462176173551,-5.73170446288725,-30.0927644887661,-49.3688325451946,-32.4126263957397,-86.7039268701799,-102.356116745608,-115.417636879662,-26.3782374968708,-51.6120150501565,-56.6812645781576,-39.5736718685678,-91.2471372601561,153.179035985437,-86.5568461292156,-64.3860547696767,17.2555018024968,-102.267810776173,-68.3988930534726,-103.596667956814,-46.9536278315582,138.725772766111,4.09450323072788,-78.7985921447213,-32.7244333019053,-68.2280158030087,37.8996053270304,-141.47107414402,-155.519119527922,-99.026975754638,-110.752247650311,-105.355138139524,-26.8662076086731,-77.3913078373716,72.4817904756529,-110.267854736418,-68.3791014246048,-79.0277991233631,-17.2676612856757,-75.6119985559045,104.702177554458,-58.58673681691,-114.197231574488,8.48922514083988,11.7071508771312,-141.938089119588,-67.5962010106246,-89.7734483501666,20.3190363969119,-51.553886978278,97.71146223757,-68.6429705730267,-105.407841954417,-65.1677645024429,121.39439724137,-55.7675944760488,-10.8801281422048,4.88344192200869,-109.992301741356,83.2636123795959,-93.8096521691921,111.732520687252,-49.076342247094,-129.518374672719,-117.355868830274,2.51154447159757,-94.3451986282471,160.444437220081,-56.2372594108744
-55.1612903,80,-58.0645161,-52.2580645,79.5,80.5,-5.18512347518266,66.1315577859026,-18.6675829777481,0.689128552207761,-14.7540010086118,-42.350552578653,32.0628634456886,-5.19368004683118,-5.16369128463962,-54.3314266543925,35.710414888563,58.9345705219233,14.8539337667347,21.1121620373755,21.6727055552162,86.1505429108602,-21.5288622978327,-31.8412189860738,29.0794058325654,-51.3244810706054,-21.8134370178535,16.8988000539769,-34.7624360226222,12.8814598581061,20.7197938952169,22.4777078983179,28.1479691376441,-8.51618673004467,42.7719467771521,-5.72218086938066,11.0036243227041,-46.8910975923969,-34.1527138829746,46.661546981796,-30.4362788848658,-7.26436644422266,-22.7519695465174,-42.4215211414884,9.90573280941226,-41.0904958577109,4.93637171659598,-5.07306611112165,29.5513522943654,24.6787849707157,35.3192477780869,-12.050757528474,-26.9731027900552,34.4214924613362,10.6107617299694,-8.24928537178754,44.2963791699503,41.3806268116469,-18.4120405502272,-12.0147481783446,31.8436902792807,-9.29858745409778,-31.5574867893478,33.465556705237,14.0073541516958,-13.9188388201406,-29.9412881095395,18.0884075065806,1.15023195088942,-5.63626251806059,-32.5407754418571,38.2947833802118,-20.0821801037255,-6.79997808281642,3.89462936471636,-3.56259219481703,-10.3145034569599,-8.50845855370933,-9.54549774535761,-24.8800627753164,-52.485675967883,-55.6490536617531,-19.7128392832165,-16.9852959708474,-37.0207107787646,-17.8514381711699,-37.0427328335907,25.1099910834335,-15.6964475329745,-22.3198361317539,-17.7703926375021,-49.222229110645,-23.0013015175209,-37.7176921043715,-8.51504754811169,39.0370353816962,-34.332093832222,-48.4782606572704,-21.4751301668608,-35.8730389465591,-11.0371784214281,-66.5299088273592,-79.4083358128946,-59.6255201188007,-42.2140216369075,-40.1289238048619,-0.401152714380978,-21.7048972554042,-4.5134064917902,-42.5205032758057,-59.4006203713436,-16.1276253217474,4.48418051133687,-18.6903088479168,3.73082065230385,-15.3073797369132,-70.3929942651498,-13.6550781577437,-31.1755906158093,-69.2595357955149,-12.432554586867,-27.1407823859601,2.38493826416634,-28.9105577662085,32.0877945747122,-5.81154332165261,-61.0062054396941,-14.1358939899757,9.4410577073722,-44.7762624025025,-23.2964086792388,-16.494927901652,-50.125953701062,18.1995123762179,-25.6909177211803,34.4332043892222,-50.0481069374617,-67.1731876855651,-54.3245340437705,-4.80661954119414,-25.8179489252104,26.0145589120327,-51.7148867640306
-61.0714286,81,-64.2857143,-57.8571429,80.5,81.5,-1.91121372682512,370.866870754129,-78.4480393275955,-2.402539499339,-4.1307140030796,-27.9794398741952,24.2648302754731,-1.94101494558346,-1.82409518502524,-84.3079332085433,233.844938642009,139.587897095535,189.974361149261,232.346773747372,-25.6638098376931,336.774532032944,-59.3930392190778,49.6826624327105,340.125855856975,-88.0492236515609,-69.6715128138512,54.9060542917685,-88.8934238056374,-51.1980358707231,-25.6426966779349,297.988599638019,-9.38831178163421,144.457004863689,200.53393716193,-49.8719857020139,-52.3206217724018,-13.5997622392574,-35.6383694468684,148.861070444287,-81.0478938405953,-68.9864259579039,-58.893952447894,-90.5871392072685,-3.21017993824114,-61.2140910446526,-48.2818391375366,-59.2602355292239,98.5839166204725,15.5620225855938,188.36471001958,-60.6063616382905,-1.89483310118707,153.25658175058,-31.362205027489,73.8518260756728,276.97278379196,227.313548924921,75.7690605763219,19.3102485387691,109.980464609216,-18.0361026639475,-7.70855102604353,52.2630226729106,53.0758900900522,-28.5856723971276,-41.7117126921113,-7.33415070115029,1.60111099307474,53.8237326409717,-68.6583832482811,137.984983616858,-45.3098563999636,43.8929796056802,-12.1222401783704,29.279848773278,-0.195458868672796,-40.7343093340421,-5.36644842781736,-93.4533652348266,-93.4971879599992,-106.358755723938,7.44894681676694,-49.8759010215638,-19.2771219994917,-15.2125504675245,-86.4360725071749,302.895785036416,-104.868230427603,-66.437623897766,70.3495728570046,-91.8849279374995,-70.9767267296056,-114.171404483113,-44.4303898771111,228.743061190925,83.4501818590996,-59.5181715696573,-9.28724443008423,-49.6033445878427,110.55217228947,-145.073655678899,-155.370900715071,-70.8390475573575,-124.834168490142,-112.80520505689,-6.20586886876416,-75.177515106296,184.140926272392,-118.29163204467,-4.05205500552544,-90.5922399341985,-16.9076232707611,-84.4584425207039,234.153584833169,-63.8877233741356,-82.8767079311599,80.3130022367477,105.584924397385,-144.389495369283,-71.5933152180049,-102.668257048029,78.1583810280828,-25.8812200814039,172.3412837194,-94.4621168255036,-85.9140052476403,-66.5186748595612,236.960609977825,-19.980445092182,43.5839056540006,50.8926798417288,-110.863857178435,152.250113681104,-111.981194559065,200.588087280116,0.249170753106392,-127.048709979683,-120.530577972185,53.4005905243367,-107.772118077568,277.355583122973,-9.81780370725913
